Time,Sternum_X,Sternum_Y,Sternum_Z,LShoulder_X,LShoulder_Y,LShoulder_Z,RShoulder_X,RShoulder_Y,RShoulder_Z,LASIS_X,LASIS_Y,LASIS_Z,RASIS_X,RASIS_Y,RASIS_Z,RPSIS_X,RPSIS_Y,RPSIS_Z,LPSIS_X,LPSIS_Y,LPSIS_Z,RKneeLateral_X,RKneeLateral_Y,RKneeLateral_Z,RKneeMedial_X,RKneeMedial_Y,RKneeMedial_Z,RFibulaHead_X,RFibulaHead_Y,RFibulaHead_Z,RMidShank_X,RMidShank_Y,RMidShank_Z,RAnkleLateral_X,RAnkleLateral_Y,RAnkleLateral_Z,RAnkleMedial_X,RAnkleMedial_Y,RAnkleMedial_Z,RHeel_X,RHeel_Y,RHeel_Z,RMT5_X,RMT5_Y,RMT5_Z,RMT2_X,RMT2_Y,RMT2_Z,RToe_X,RToe_Y,RToe_Z,LKneeLateral_X,LKneeLateral_Y,LKneeLateral_Z,LKneeMedial_X,LKneeMedial_Y,LKneeMedial_Z,LFibulaHead_X,LFibulaHead_Y,LFibulaHead_Z,LMidShank_X,LMidShank_Y,LMidShank_Z,LAnkleLateral_X,LAnkleLateral_Y,LAnkleLateral_Z,LAnkleMedial_X,LAnkleMedial_Y,LAnkleMedial_Z,LHeel_X,LHeel_Y,LHeel_Z,LMT5_X,LMT5_Y,LMT5_Z,LMT2_X,LMT2_Y,LMT2_Z,LToe_X,LToe_Y,LToe_Z
0,259.461,1604.55,1386.14,75.037,1491.6,1439.52,447.047,1522.49,1415.46,139.262,1600.51,995.983,398.989,1598.73,1005.27,327.034,1423.8,1021.48,197.161,1418.89,1016.56,448.157,1479.29,538.915,323.717,1524.75,498.584,458.347,1471.05,458.242,404.385,1517.84,287.656,475.037,1459.8,92.7902,404.866,1522.02,119.18,405.762,1404.44,61.3234,553.819,1596.83,32.4174,489.101,1616.12,62.8591,495.047,1669.11,44.2665,90.3277,1498.14,522.556,219.478,1523.89,493.788,84.9772,1478.98,461.924,144.953,1516.71,300.293,79.2838,1448.71,100.295,156.767,1498.88,113.931,145.538,1386.33,63.2005,13.6452,1572.95,43.8998,72.7398,1600.74,61.7594,58.787,1660.4,42.1096
0.01,259.454,1604.68,1386.15,75.0289,1491.76,1439.56,447.032,1522.62,1415.46,139.22,1600.6,996.007,398.959,1598.8,1005.28,326.96,1423.84,1021.52,197.11,1418.97,1016.59,448.095,1479.3,538.941,323.673,1524.8,498.582,458.284,1471.06,458.277,404.355,1517.88,287.681,475.01,1459.82,92.8036,404.854,1522.03,119.184,405.75,1404.44,61.3389,553.806,1596.83,32.4196,489.098,1616.14,62.8713,495.047,1669.11,44.2629,90.2763,1498.21,522.565,219.443,1523.93,493.825,84.9403,1479.05,461.94,144.921,1516.77,300.331,79.2817,1448.71,100.329,156.754,1498.89,113.933,145.531,1386.33,63.2239,13.6268,1572.94,43.8951,72.724,1600.74,61.7601,58.7729,1660.41,42.1087
0.02,259.45,1604.82,1386.16,75.0257,1491.92,1439.6,447.038,1522.76,1415.48,139.18,1600.68,996.038,398.925,1598.85,1005.29,326.915,1423.89,1021.57,197.045,1419.05,1016.61,448.022,1479.32,538.97,323.637,1524.84,498.59,458.23,1471.07,458.323,404.332,1517.91,287.706,474.993,1459.82,92.8616,404.844,1522.08,119.206,405.72,1404.47,61.3756,553.805,1596.83,32.4401,489.092,1616.15,62.8659,495.049,1669.11,44.2588,90.2349,1498.29,522.592,219.391,1524.03,493.872,84.8981,1479.1,461.961,144.892,1516.82,300.353,79.2856,1448.73,100.339,156.741,1498.92,113.966,145.526,1386.34,63.2524,13.6282,1572.96,43.9001,72.8657,1600.75,62.0422,58.7613,1660.41,42.1063
0.03,259.449,1604.95,1386.16,75.0223,1492.08,1439.63,447.037,1522.89,1415.48,139.131,1600.75,996.058,398.881,1598.89,1005.29,326.85,1423.96,1021.62,196.976,1419.14,1016.66,447.972,1479.34,538.997,323.595,1524.92,498.592,458.17,1471.09,458.352,404.302,1517.93,287.72,474.97,1459.87,92.8576,404.832,1522.09,119.207,405.697,1404.48,61.4156,553.795,1596.83,32.4391,489.077,1616.2,62.9198,495.04,1669.13,44.256,90.1819,1498.38,522.598,219.342,1524.13,493.91,84.8561,1479.19,461.975,144.867,1516.87,300.362,79.2788,1448.76,100.371,156.728,1498.94,113.981,145.528,1386.36,63.2823,13.6269,1572.95,43.8886,72.9078,1600.81,62.0149,58.7529,1660.42,42.1056
0.04,259.449,1605.09,1386.17,74.8442,1492.1,1439.77,446.994,1523.03,1415.48,139.069,1600.82,996.095,398.833,1598.95,1005.3,326.778,1423.99,1021.68,196.898,1419.21,1016.71,447.91,1479.38,539.025,323.556,1524.96,498.586,458.116,1471.11,458.393,404.287,1517.97,287.717,474.967,1459.87,92.8835,404.828,1522.11,119.206,405.673,1404.51,61.4406,553.784,1596.83,32.4336,489.068,1616.21,62.8974,495.03,1669.16,44.2504,90.1337,1498.49,522.62,219.292,1524.21,493.948,84.8103,1479.28,461.999,144.845,1516.93,300.367,79.2572,1448.78,100.397,156.725,1498.96,113.989,145.52,1386.35,63.3116,13.6289,1572.96,43.8812,72.8986,1600.83,61.9756,58.754,1660.45,42.0942
0.05,259.454,1605.23,1386.17,74.8574,1492.25,1439.8,446.967,1523.17,1415.48,139.005,1600.89,996.123,398.778,1599,1005.29,326.712,1424.08,1021.69,196.836,1419.28,1016.76,447.845,1479.44,539.029,323.523,1525.01,498.57,458.058,1471.15,458.416,404.278,1518.01,287.724,474.95,1459.87,92.9091,404.816,1522.13,119.191,405.649,1404.53,61.4629,553.787,1596.84,32.4256,489.066,1616.24,62.9125,495.041,1669.18,44.2356,90.084,1498.57,522.639,219.23,1524.31,493.987,84.7651,1479.35,462.028,144.825,1516.98,300.37,79.2621,1448.8,100.415,156.719,1498.97,113.999,145.517,1386.35,63.3329,13.6339,1572.96,43.8667,72.8232,1600.74,61.9551,58.752,1660.47,42.1002
0.06,259.446,1605.37,1386.18,75.0175,1492.53,1439.74,446.953,1523.29,1415.47,138.937,1600.96,996.143,398.72,1599.06,1005.29,326.656,1424.1,1021.73,196.74,1419.35,1016.82,447.808,1479.51,539.032,323.483,1525.09,498.565,458.008,1471.2,458.433,404.263,1518.06,287.714,474.949,1459.86,92.9288,404.815,1522.16,119.188,405.649,1404.56,61.474,553.782,1596.84,32.4229,489.072,1616.28,62.9423,495.049,1669.19,44.2147,90.0404,1498.63,522.648,219.177,1524.37,494.008,84.7254,1479.41,462.038,144.807,1517.03,300.372,79.2517,1448.81,100.435,156.712,1498.97,114,145.517,1386.36,63.3477,13.6468,1572.97,43.8579,72.8683,1600.83,61.8827,58.7567,1660.49,42.0742
0.07,259.455,1605.51,1386.19,75.023,1492.67,1439.78,446.923,1523.42,1415.46,138.858,1601.04,996.158,398.647,1599.13,1005.29,326.57,1424.18,1021.74,196.677,1419.42,1016.86,447.761,1479.58,539.032,323.456,1525.17,498.562,458.031,1471.16,458.483,404.252,1518.11,287.72,474.943,1459.89,92.9491,404.811,1522.17,119.179,405.63,1404.57,61.4983,553.784,1596.84,32.4163,489.08,1616.29,62.9284,495.053,1669.22,44.2096,89.991,1498.69,522.66,219.361,1524.18,493.848,84.6888,1479.45,462.055,144.782,1517.05,300.387,79.2471,1448.82,100.458,156.716,1498.98,114.008,145.528,1386.36,63.3623,13.6568,1572.98,43.8601,72.7982,1600.75,61.8804,58.7541,1660.52,42.0592
0.08,259.444,1605.64,1386.2,75.0153,1492.8,1439.8,446.889,1523.54,1415.44,138.786,1601.1,996.166,398.562,1599.2,1005.28,326.496,1424.24,1021.74,196.603,1419.5,1016.87,447.715,1479.66,539.031,323.416,1525.24,498.563,457.977,1471.23,458.493,404.222,1518.17,287.724,474.934,1459.89,92.9652,404.782,1522.21,119.176,405.616,1404.61,61.5063,553.776,1596.84,32.4096,489.072,1616.32,62.9235,495.054,1669.22,44.1885,89.96,1498.73,522.659,219.318,1524.23,493.88,84.6601,1479.47,462.071,144.76,1517.09,300.397,79.2671,1448.83,100.449,156.71,1498.99,114.013,145.536,1386.37,63.3654,13.648,1572.97,43.8532,72.7854,1600.75,61.8544,58.7566,1660.54,42.0426
0.09,259.439,1605.77,1386.21,75.0151,1492.92,1439.85,446.877,1523.66,1415.42,138.714,1601.16,996.169,398.479,1599.28,1005.29,326.442,1424.31,1021.73,196.539,1419.6,1016.89,447.676,1479.73,539.023,323.382,1525.3,498.551,457.925,1471.26,458.505,404.2,1518.21,287.732,474.921,1459.92,92.9706,404.775,1522.22,119.188,405.62,1404.63,61.4984,553.777,1596.83,32.4075,489.076,1616.32,62.9045,495.071,1669.23,44.168,89.9224,1498.76,522.662,219.28,1524.23,493.888,84.6213,1479.49,462.084,144.731,1517.1,300.418,79.2819,1448.83,100.441,156.708,1498.96,114.001,145.541,1386.37,63.3714,13.6541,1572.97,43.8555,72.7932,1600.82,61.7763,58.7685,1660.53,42.0266
